item_type,path,status,notes
brief,outputs/agi_research_onepager.md,ready,영문 1pager (PDF 변환 포함)
brief,outputs/agi_research_onepager_ko.md,ready,한글 1pager (PDF 변환 포함)
brief,outputs/ion_research_brief.md,ready,영문 3p 브리프 (PDF 변환 포함)
brief,outputs/ion_research_brief_ko.md,ready,한글 3p 브리프 (PDF 변환 포함)
summary,outputs/perple_6m_summary.md,ready,Perple 6개월 지표 요약
slide_outline,outputs/slide_deck_outline.md,ready,Tier2 슬라이드 개요
compendium_outline,outputs/failure_compendium_outline.md,ready,Tier3 실패 사례 개요
visual,outputs/six_month_intensity.png,ready,내부/외부 활동 시각화
csv,outputs/perple_internal_external_monthly.csv,ready,내부 대 외부 지표
csv,outputs/perple_monthly_counts.csv,ready,Perple 월별 카운트
csv,outputs/perple_6m_model_counts.csv,ready,6개월 모델 사용량
csv,outputs/perple_6m_keyword_groups.csv,ready,키워드 그룹 통계
csv,outputs/perple_keyword_counts.csv,ready,키워드 전체 카운트
index,outputs/perple_6m_index.md,ready,6개월 브리프 인덱스
anonymized_dir,outputs/perple_anonymized/,ready,익명화 샘플 세트
anonymized_data,outputs/ai_conversations_anonymized.csv,ready,Rua/Sena 익명화 데이터셋
anonymized_data,outputs/ai_conversations_anonymized.jsonl,ready,Rua/Sena 익명화 데이터셋
manifest,outputs/research_package_index.md,ready,공유 패키지 요약
todo,outputs/todo_next_steps.txt,complete,후속 작업 점검 완료
compendium,outputs/share_package_v1/failure_compendium.md,ready,Tier3 실패 사례집 (배포용 초안)
csv,outputs/concept_occurrences.csv,ready,Concept mention log
csv,outputs/concept_summary.csv,ready,Concept totals & first/last seen
csv,outputs/concept_monthly_counts.csv,ready,Monthly concept frequency pivot
csv,outputs/concept_cooccurrence.csv,ready,Concept co-occurrence counts
csv,outputs/metacognitive_markers.csv,ready,Metacognitive marker events
csv,outputs/metacognitive_category_counts.csv,ready,Marker category summary
markdown,outputs/perple_anonymized_combined.md,ready,Compiled anonymized Perple notes
csv,LLM_Unified/connection_test_results.json,ready,Vertex & AI Studio diagnostics
markdown,outputs/lubit_self_narrative_log.md,ready,Lubit self-narrative logs
json,outputs/lubit_phase_injection_simulation.json,ready,Phase injection simulation (3 loops)
image,outputs/lubit_resonant_network_map_v2.png,ready,Resonant network map v2
image,outputs/resonant_frame_map.png,ready,Language-Affect-Symbol interaction map
markdown,outputs/resonant_frame_model.md,ready,Resonant frame coordinator summary
markdown,outputs/executive_brief_resonant_frame.md,ready,Executive brief summary
markdown,outputs/resonant_ethics_manifesto.md,ready,Resonant ethics manifesto
