source,conversation_id,marker_events,first_marker,categories,concept_hits,unique_concepts,primary_categories,top_concepts,concepts_per_marker
elro,078a585c-fb5c-800d-97a0-f1caf38b12dd,3,2025-06-06 02:30:35.762270,action_plan; self_reflection,0,0,,,0.0
elro,188b2015-b04c-800d-b290-84a212ae0e58,7,2025-06-02 07:37:25.409248,cross_persona; uncertainty,5,1,cross_persona; uncertainty,루아 (5),0.7142857142857143
elro,207589f6-a0cc-800d-b293-7eaa125eb2c4,17,2025-06-25 12:14:14.928309,cross_persona; self_reflection; signal_check; uncertainty,15,3,cross_persona; self_reflection; signal_check; uncertainty,리듬 (8); 루아 (5); 엘로 (2),0.8823529411764706
elro,418c2de5-9188-800d-bb1e-705d73d97528,12,2025-06-02 07:21:16.566108,cross_persona; self_reflection; signal_check; uncertainty,17,3,cross_persona; signal_check; uncertainty,엘로 (9); 루아 (5); 리듬 (3),1.4166666666666667
elro,5a335d3e-6314-800d-9420-1d4d8821067f,7,2025-06-06 02:20:52.216846,action_plan; cross_persona; signal_check; uncertainty,7,4,cross_persona; signal_check; uncertainty,루아 (2); 리듬 (2); 엘로 (2),1.0
elro,682c4698-b710-800d-857d-5750defd1d16,52,2025-05-20 09:09:05.661035,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,366,5,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (90); 리듬 (82); 감응 (74),7.038461538461538
elro,682d1c58-688c-800d-b707-8a4f7e948db6,333,2025-05-21 00:20:40.789184,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,3184,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (735); 감응 (669); 루아 (579),9.561561561561561
elro,682d81ea-fa8c-800d-941f-86e00e15dbe9,9,2025-05-21 07:34:02.662625,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,150,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,감응 (29); 리듬 (27); 루아 (26),16.666666666666668
elro,682d9bbc-9b08-800d-9df4-43ca328bb79f,81,2025-05-21 09:24:13.360314,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,777,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (189); 엘로 (184); 감응 (150),9.592592592592593
elro,682e6993-9d34-800d-9cfe-2ddc7ed77a95,218,2025-05-22 00:02:43.525298,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1956,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (461); 엘로 (434); 감응 (352),8.972477064220184
elro,682fc748-b894-800d-b58f-26fac7eed7b7,10,2025-05-23 00:54:32.263889,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,79,6,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (21); 감응 (18); 리듬 (18),7.9
elro,682fd366-0ff8-800d-b4b2-7ee48b83db6d,150,2025-05-23 01:46:41.450213,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1273,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (317); 루아 (288); 리듬 (255),8.486666666666666
elro,682ff0ac-8fa4-800d-b8bd-a203f9617c6e,65,2025-05-23 03:51:08.278686,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,517,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (140); 루아 (132); 리듬 (106),7.953846153846154
elro,683117dc-ad88-800d-89cf-a8af400c2af3,24,2025-05-24 00:50:36.493032,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,357,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (79); 루아 (77); 리듬 (70),14.875
elro,68322563-10b8-800d-93e3-c71fba007fce,45,2025-05-24 20:00:34.922000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,419,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (108); 루아 (100); 감응 (98),9.311111111111112
elro,6833ab2e-2644-800d-8ffe-a73752692e28,71,2025-05-25 23:43:41.917658,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,416,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (95); 리듬 (93); 감응 (78),5.859154929577465
elro,6833ef19-c1c4-800d-8bef-d3e9de4a561f,16,2025-05-26 04:33:29.117220,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,94,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (25); 감응 (16); 루아 (14),5.875
elro,6833f7a8-a224-800d-a146-2a12400e1709,73,2025-05-26 05:10:01.918490,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,517,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (132); 감응 (128); 루아 (88),7.082191780821918
elro,68366596-938c-800d-bddd-4160641c6def,329,2025-05-28 01:23:34.333133,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,3152,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (722); 리듬 (693); 루아 (674),9.580547112462007
elro,68379e9b-b18c-800d-b3c2-2da8441c682f,33,2025-05-28 23:39:22.394927,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,174,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (49); 엘로 (37); 조율 (34),5.2727272727272725
elro,68391307-a3a0-800d-ba34-d1832bfe1b56,84,2025-05-30 02:08:43.280220,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,268,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (77); 리듬 (62); 루아 (49),3.1904761904761907
elro,683cec16-1998-800d-a0c2-ec32c6a33c6b,71,2025-06-02 00:11:11.185184,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,408,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (108); 리듬 (87); 감응 (85),5.746478873239437
elro,683d1056-8790-800d-8081-d5d7a2112797,141,2025-06-02 02:45:42.222912,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1155,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (267); 감응 (238); 엘로 (230),8.191489361702128
elro,683e36da-2124-800d-8fee-8d6b86012060,138,2025-06-02 23:43:10.971796,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1063,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (260); 루아 (234); 리듬 (213),7.702898550724638
elro,6840d4bf-b440-800d-a33c-3f9fbbe80aed,62,2025-06-04 23:20:31.364841,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,668,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (152); 리듬 (143); 감응 (136),10.774193548387096
elro,6840eca9-9b18-800d-a241-a4b5b23e14be,202,2025-06-05 01:02:33.372210,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1764,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (423); 리듬 (355); 루아 (322),8.732673267326733
elro,684389f9-95d8-800d-afa1-2e3f268f3ef3,37,2025-06-07 00:38:17.248998,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,481,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (113); 엘로 (102); 감응 (92),13.0
elro,6843a2c3-40a0-800d-ad85-c54cac55466c,19,2025-06-07 02:24:02.895741,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,275,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (59); 엘로 (52); 감응 (49),14.473684210526315
elro,684531d5-cf58-800d-8810-02c5099b76e5,55,2025-06-08 06:46:45.599857,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,439,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (97); 감응 (91); 엘로 (74),7.9818181818181815
elro,68463ee7-ab4c-800d-b16d-402c65d28268,55,2025-06-09 01:54:47.458568,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,813,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (175); 리듬 (174); 루아 (163),14.781818181818181
elro,684ab08f-3d60-800d-9280-b6f6c217dbb6,18,2025-06-12 10:48:46.843384,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,180,5,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (45); 리듬 (42); 루아 (35),10.0
elro,684baf76-53c8-800d-a64b-fe09641dce22,63,2025-06-13 04:56:21.958150,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,794,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (204); 리듬 (162); 감응 (153),12.603174603174603
elro,684f5c54-aa10-800d-a369-ec1a54ec5d49,80,2025-06-15 23:50:44.316904,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,852,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (191); 리듬 (167); 루아 (166),10.65
elro,684ffc40-a6c8-800d-91ed-77d4ff44f88a,20,2025-06-16 11:13:04.396643,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,327,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (72); 리듬 (65); 감응 (53),16.35
elro,6850b358-a824-800d-b87c-7086c244ba5e,8,2025-06-17 00:14:16.356425,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,51,6,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (17); 리듬 (15); 감응 (8),6.375
elro,6858b30c-485c-800d-9c3c-dd964fff5cbc,12,2025-06-23 01:51:07.875311,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,178,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (46); 루아 (36); 리듬 (34),14.833333333333334
elro,6859fea4-27a0-800d-9142-9c57e37b00ae,27,2025-06-24 01:25:53.608973,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,536,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (105); 감응 (88); 엘로 (86),19.85185185185185
elro,685cba5f-de64-800d-8043-2dc20b465f71,20,2025-06-26 03:11:27.570782,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,359,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (71); 리듬 (62); 루아 (58),17.95
elro,6863c772-5718-800d-89e2-b2490022180a,36,2025-07-01 11:33:05.600381,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,586,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (111); 감응 (106); 리듬 (101),16.27777777777778
elro,6864c190-f9ac-800d-b540-7d6b2c0625b1,15,2025-07-02 05:20:16.055688,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,267,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (55); 엘로 (53); 루아 (47),17.8
